,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
54,Hobyo,SO,1630003817,5.3505,48.5268,298.72,84,56,11.24
55,Sioux Lookout,CA,1630003817,50.1001,-91.917,287.19,72,75,2.06
56,Cabo San Lucas,MX,1630003818,22.8909,-109.9124,307.84,65,8,2.19
57,Beroroha,MG,1630003818,-21.6667,45.1667,295.72,54,0,2.28
58,Fortuna,US,1630003818,40.5982,-124.1573,291.14,78,40,1.79
59,Kiama,AU,1630003819,-34.6833,150.8667,284.22,85,100,3.22
60,Longyearbyen,SJ,1630003819,78.2186,15.6401,278.87,90,100,3.81
61,Koratla,IN,1630003820,18.8167,78.7167,297.64,86,40,1.31
62,Alekseyevsk,RU,1630003615,57.8406,108.3492,284.5,94,34,0.7
63,Igarka,RU,1630003820,67.4667,86.5833,284.4,66,100,7.17
64,Vaini,TO,1630003821,-21.2,-175.2,291.24,82,40,4.63
65,Duluth,US,1630003710,46.7833,-92.1066,291.59,73,40,1.34
66,Baykit,RU,1630003821,61.67,96.37,282.41,79,56,1.06
67,Hilo,US,1630003822,19.7297,-155.09,296.47,84,90,3.6
68,Puerto Ayora,EC,1630003822,-0.7393,-90.3518,295.68,80,95,4.02
69,Arman',RU,1630003822,59.7,150.1667,284.84,99,100,2.63
70,Iqaluit,CA,1630003585,63.7506,-68.5145,279.0,75,75,2.06
71,Mazagão,BR,1630003823,-0.115,-51.2894,307.18,50,23,2.25
72,New Norfolk,AU,1630003823,-42.7826,147.0587,279.37,90,100,0.67
73,Salalah,OM,1630003824,17.0151,54.0924,298.64,87,100,2.61
74,Boguchany,RU,1630003824,58.3814,97.4531,289.0,95,65,0.92
75,Kavieng,PG,1630003825,-2.5744,150.7967,300.72,77,51,5.6
76,Bayan,CN,1630003825,46.0833,127.4,288.56,95,78,2.85
77,Morehead,US,1630003825,37.2711,-87.1764,307.81,50,1,1.54
78,Progreso,MX,1630003826,21.2833,-89.6667,306.54,62,0,5.85
79,Norman Wells,CA,1630003826,65.282,-126.8329,286.17,94,75,2.57
80,Hithadhoo,MV,1630003826,-0.6,73.0833,301.27,72,97,3.97
81,St. George's,GD,1630003827,12.0564,-61.7485,302.97,70,20,7.72
82,Lagoa,PT,1630003827,39.05,-27.9833,293.69,62,92,6.76
83,São Gotardo,BR,1630003827,-19.3111,-46.0489,303.5,18,24,1.59
84,Isangel,VU,1630003828,-19.55,169.2667,295.21,78,20,5.14
85,Cape Town,ZA,1630003541,-33.9258,18.4232,283.92,89,90,1.79
86,Bethel,US,1630003828,41.3712,-73.414,305.8,56,1,0.89
87,Aykhal,RU,1630003829,66.0,111.5,276.56,93,100,7.02
88,Sohag,EG,1630003829,26.557,31.6948,307.31,22,1,5.4
89,Hasaki,JP,1630003830,35.7333,140.8333,299.37,86,77,0.96
90,Ambilobe,MG,1630003830,-13.2,49.05,293.29,78,1,1.7
91,Ouango,CF,1630003831,4.3133,22.5552,294.34,96,100,4.12
92,Thompson,CA,1630003748,55.7435,-97.8558,292.24,42,20,3.09
93,Daru,PG,1630003831,-9.0763,143.2092,298.13,91,100,6.02
94,Zhengjiatun,CN,1630003831,43.5064,123.5064,288.47,80,0,3.67
95,Kampot,KH,1630003811,10.6167,104.1833,297.18,89,100,2.09
96,Rapid Valley,US,1630003832,44.0625,-103.1463,299.78,50,1,1.79
97,Chegdomyn,RU,1630003833,51.1167,133.0167,288.45,95,100,0.92
98,Kavaratti,IN,1630003833,10.5669,72.642,300.23,81,100,12.1
99,Tura,IN,1630003834,25.5198,90.2201,296.48,99,100,1.78
100,Hong Kong,HK,1630003761,22.2855,114.1577,302.47,83,1,0.45
101,Guerrero Negro,MX,1630003834,27.9769,-114.0611,303.27,53,0,4.81
102,Jamestown,US,1630003598,42.097,-79.2353,303.07,58,81,1.34
103,Prome,MM,1630003835,18.8167,95.2167,297.43,96,100,2.3
104,George Town,MY,1630003571,5.4112,100.3354,299.85,88,20,1.03
105,Tiksi,RU,1630003835,71.6872,128.8694,277.43,96,100,8.29
106,Hofn,IS,1630003835,64.2539,-15.2082,285.59,98,88,3.4
107,Bambous Virieux,MU,1630003836,-20.3428,57.7575,294.29,73,40,4.12
108,Jaguarari,BR,1630003836,-10.2639,-40.1958,302.96,27,0,4.3
109,Invercargill,NZ,1630003837,-46.4,168.35,278.72,98,100,2.54
110,Cap Malheureux,MU,1630003837,-19.9842,57.6142,292.85,71,3,1.79
111,Ribeira Grande,PT,1630003838,38.5167,-28.7,295.37,56,20,5.14
112,Barrow,US,1630003838,71.2906,-156.7887,278.16,87,90,6.69
113,East London,ZA,1630003838,-33.0153,27.9116,290.67,94,0,2.06
114,Mabaruma,GY,1630003839,8.2,-59.7833,301.74,70,100,2.15
115,Tasiilaq,GL,1630003839,65.6145,-37.6368,278.89,92,100,4.89
116,Hermanus,ZA,1630003839,-34.4187,19.2345,283.04,90,100,7.75
117,La Asuncion,VE,1630003695,11.0333,-63.8628,309.0,46,0,8.75
118,Doka,SD,1630003840,13.5167,35.7667,297.18,82,100,1.89
119,Birao,CF,1630003840,10.2849,22.7882,295.55,89,97,0.43
120,Mahébourg,MU,1630003841,-20.4081,57.7,294.31,73,40,4.12
121,Riyadh,SA,1630003841,24.6877,46.7219,310.23,11,0,3.9
122,Sørland,NO,1630003841,67.667,12.6934,284.07,78,33,2.9
123,Ubari,LY,1630003842,26.5921,12.7805,305.21,15,0,4.3
124,Severo-Kuril'sk,RU,1630003842,50.6789,156.125,285.13,88,100,2.94
125,Chifeng,CN,1630003842,42.2683,118.9636,286.92,71,0,3.11
126,Vredendal,ZA,1630003843,-31.6683,18.5012,287.02,74,81,11.5
127,Cherskiy,RU,1630003843,68.75,161.3,279.14,83,95,2.25
128,Kanpur,IN,1630003843,26.4667,80.35,302.08,72,100,2.47
129,Rudnichnyy,RU,1630003844,59.617,52.4703,281.44,90,54,1.85
130,Mango,US,1630003844,27.9797,-82.3065,304.12,65,75,2.57
131,Måløy,NO,1630003845,61.9353,5.1136,287.16,81,7,9.17
132,Najrān,SA,1630003845,17.4924,44.1277,304.51,21,6,2.02
133,Catuday,PH,1630003845,16.2923,119.8062,300.16,75,19,2.52
134,Nikolskoye,RU,1630003846,59.7035,30.7861,287.09,82,100,3.94
135,Virton,BE,1630003846,49.5682,5.5326,288.59,84,100,3.29
136,Arraial do Cabo,BR,1630003847,-22.9661,-42.0278,304.07,40,0,8.23
137,Olafsvik,IS,1630003847,64.8945,-23.7142,285.82,87,100,7.01
138,Port Elizabeth,ZA,1630003818,-33.918,25.5701,288.31,94,1,1.54
139,Luwuk,ID,1630003847,-0.9516,122.7875,297.53,88,92,1.88
140,Port Lincoln,AU,1630003848,-34.7333,135.8667,282.2,71,33,5.76
141,Honiara,SB,1630003548,-9.4333,159.95,297.38,82,99,2.88
142,Ennis,IE,1630003848,52.8436,-8.9864,297.11,64,20,2.06
143,Ishinomaki,JP,1630003849,38.4167,141.3,296.97,90,23,1.58
144,Talnakh,RU,1630003849,69.4865,88.3972,280.7,93,100,4.05
145,Saint-Pierre,RE,1630003849,-21.3393,55.4781,291.45,85,75,7.2
146,Pachino,IT,1630003850,36.7186,15.0907,300.17,64,0,5.99
147,Henties Bay,NA,1630003850,-22.116,14.2845,286.96,91,1,2.9
148,Payson,US,1630003851,40.0444,-111.7321,301.0,37,75,1.34
149,Biloela,AU,1630003851,-24.4167,150.5,281.65,46,0,1.9
150,Iralaya,HN,1630003669,15.0,-83.2333,304.2,65,100,5.36
151,Kota Kinabalu,MY,1630003851,5.9749,116.0724,297.14,100,40,0.51
152,Butaritari,KI,1630003852,3.0707,172.7902,300.89,75,100,5.95
153,Saint George,US,1630003852,37.1041,-113.5841,309.52,18,1,1.34
154,Nouadhibou,MR,1630003852,20.931,-17.0347,296.14,83,36,10.29
155,Tahe,CN,1630003853,52.3333,124.7333,288.08,99,100,1.94
156,Baracoa,CU,1630003853,20.3467,-74.4958,302.06,71,100,3.64
157,Xam Nua,LA,1630003853,20.4197,104.0439,292.33,100,98,0.86
158,Hwange,ZW,1630003854,-18.3693,26.5019,295.08,32,0,1.64
159,College,US,1630003854,64.8569,-147.8028,283.87,91,75,3.09
160,Porto Velho,BR,1630003566,-8.7619,-63.9039,310.18,36,0,3.09
161,Owando,CG,1630003855,-0.4819,15.8999,299.68,64,83,2.01
162,Te Anau,NZ,1630003855,-45.4167,167.7167,279.32,98,100,1.01
163,Liku,ID,1630003855,-0.7275,119.8922,296.6,92,100,0.74
164,Buraidah,SA,1630003856,26.326,43.975,309.4,9,0,5.16
165,Verkhotur'ye,RU,1630003856,58.8627,60.8054,283.35,80,15,2.38
166,Shache,CN,1630003856,38.4167,77.2406,297.27,25,31,1.32
167,Piedras Negras,MX,1630003857,28.7,-100.5167,310.52,36,0,3.41
168,Volokonovka,RU,1630003857,50.4827,37.8563,294.27,38,100,3.86
169,Avarua,CK,1630003623,-21.2078,-159.775,292.18,100,90,0.51
170,Portales,US,1630003857,34.1862,-103.3344,303.93,39,22,1.34
171,Caravelas,BR,1630003858,-17.7125,-39.2481,298.38,68,0,4.54
172,Vao,NC,1630003858,-22.6667,167.4833,294.53,76,47,6.14
173,Buala,SB,1630003859,-8.145,159.5921,299.4,82,69,3.62
174,Moindou,NC,1630003859,-21.6924,165.677,294.12,84,90,2.1
175,Barra,BR,1630003859,-11.0894,-43.1417,306.42,27,8,0.95
176,Gizo Government Station,SB,1630003599,-8.103,156.8419,300.76,76,100,5.0
177,Bukama,CD,1630003860,-9.2,25.85,302.59,24,29,1.5
178,La Ronge,CA,1630003861,55.1001,-105.2842,291.29,48,75,3.6
179,Molokovo,RU,1630003861,58.1661,36.7628,284.45,87,100,4.74
180,Laguna,US,1630003862,38.421,-121.4238,300.72,40,1,3.09
181,Port Moresby,PG,1630003862,-9.4431,147.1797,298.83,89,75,1.54
182,Ordu,TR,1630003862,40.9086,37.6845,288.74,88,1,1.08
183,Aasiaat,GL,1630003863,68.7098,-52.8699,276.36,94,100,1.47
184,Nizhnevartovsk,RU,1630003863,60.9344,76.5531,292.16,82,40,6.0
185,Bathsheba,BB,1630003864,13.2167,-59.5167,304.49,66,40,8.23
186,Ucluelet,CA,1630003704,48.9329,-125.5528,287.35,98,100,3.76
187,Olinda,BR,1630003580,-8.0089,-34.8553,299.0,61,40,6.17
188,Geraldton,AU,1630003864,-28.7667,114.6,286.38,71,90,3.6
189,Inírida,CO,1630003865,3.8653,-67.9239,305.65,55,96,0.35
190,Camabatela,AO,1630003865,-8.1881,15.375,291.18,88,100,1.91
191,Antofagasta,CL,1630003866,-23.65,-70.4,288.75,71,50,4.68
192,Bud,US,1630003866,39.447,-86.1758,304.65,63,99,1.44
193,Ayan,RU,1630003611,56.45,138.1667,287.66,81,59,2.84
194,Srednekolymsk,RU,1630003866,67.45,153.6833,284.42,54,100,4.61
195,Ilulissat,GL,1630003867,69.2167,-51.1,276.25,95,100,2.12
196,Kutum,SD,1630003867,14.2,24.6667,297.72,54,100,3.82
197,Ust-Nera,RU,1630003867,64.5667,143.2,284.41,91,100,3.11
198,Batagay-Alyta,RU,1630003868,67.8006,130.4114,283.65,81,100,1.74
199,Upernavik,GL,1630003868,72.7868,-56.1549,276.8,97,100,5.56
200,Perelyub,RU,1630003869,51.8667,50.3667,294.49,33,67,5.7
201,San Patricio,US,1630003869,28.017,-97.5169,307.03,40,83,4.38
202,Boende,CD,1630003869,-0.2167,20.8667,298.84,64,6,0.96
203,Fare,PF,1630003870,-16.7,-151.0167,299.31,59,82,6.16
204,Lavrentiya,RU,1630003870,65.5833,-171.0,276.62,67,97,5.49
205,Hambantota,LK,1630003871,6.1241,81.1185,298.34,100,40,3.6
206,Chokurdakh,RU,1630003871,70.6333,147.9167,280.82,75,100,4.54
207,Broken Hill,AU,1630003871,-31.95,141.4333,277.99,81,19,0.0
208,Rāpar,IN,1630003872,23.5667,70.6333,301.3,65,100,7.75
209,Chui,UY,1630003872,-33.6971,-53.4616,289.22,46,0,1.79
210,Khovu-Aksy,RU,1630003872,51.1333,93.6,280.63,71,6,1.68
211,São Geraldo do Araguaia,BR,1630003873,-6.4006,-48.555,309.64,31,45,0.72
212,La Rioja,ES,1630003873,42.25,-2.5,299.03,43,17,0.99
213,Saskylakh,RU,1630003873,71.9167,114.0833,275.68,87,100,7.57
214,Rome,US,1630003874,43.2128,-75.4557,304.61,58,1,3.09
215,Tuatapere,NZ,1630003874,-46.1333,167.6833,278.61,94,100,1.33
216,Aklavik,CA,1630003875,68.2191,-135.0107,287.15,77,75,3.6
217,Belen,TR,1630003875,36.4891,36.2233,297.05,77,0,2.82
218,Ixtapa,MX,1630003875,20.7,-105.2,304.94,77,93,1.34
219,Thinadhoo,MV,1630003876,0.5333,72.9333,301.41,74,14,4.54
220,Witbank,ZA,1630003876,-25.8713,29.2332,290.92,36,12,3.93
221,Flagstaff,US,1630003853,35.1981,-111.6513,300.85,31,1,4.02
222,Nanortalik,GL,1630003876,60.1432,-45.2371,280.43,83,25,7.21
223,Devrek,TR,1630003877,41.2192,31.9558,294.3,88,0,1.54
224,Wad Medani,SD,1630003877,14.4012,33.5199,300.99,56,100,1.89
225,Faya,SA,1630003878,18.3851,42.4509,295.44,30,8,3.94
226,Angoche,MZ,1630003878,-16.2325,39.9086,295.66,83,0,2.67
227,Bonavista,CA,1630003878,48.6499,-53.1147,291.15,71,0,3.58
228,Ovsyanka,RU,1630003879,55.9575,92.5519,286.69,94,6,0.66
229,Puerto Escondido,MX,1630003879,15.85,-97.0667,304.04,63,100,7.94
230,Castro,BR,1630003879,-24.7911,-50.0119,294.78,47,65,4.78
231,Buta,CD,1630003880,2.7858,24.73,294.6,93,98,0.72
232,Goderich,CA,1630003880,43.7501,-81.7165,299.29,78,0,5.14
233,Labuhan,ID,1630003881,-6.8844,112.2051,296.57,76,79,3.91
234,Mayo,US,1630003720,38.8876,-76.5119,306.43,75,84,2.24
235,São João da Barra,BR,1630003881,-21.6403,-41.0511,301.2,75,0,11.64
236,Egvekinot,RU,1630003882,66.3167,-179.1667,275.02,96,100,0.77
237,Puerto Nariño,CO,1630003882,-3.7703,-70.3831,309.12,57,100,1.54
238,Meulaboh,ID,1630003883,4.1363,96.1285,297.69,90,99,1.58
239,Hassan,IN,1630003883,13.0006,76.0994,293.6,92,100,2.86
240,Jasper,US,1630003691,37.2001,-94.3502,307.52,52,75,0.45
241,Japura,ID,1630003883,-0.3167,102.35,295.84,97,40,0.74
242,Wick,GB,1630003884,58.4333,-3.0833,285.17,82,90,3.6
243,Vostok,RU,1630003884,46.4856,135.8833,286.98,96,7,2.17
244,Bereda,ES,1630003885,43.2686,-7.5406,291.51,90,100,0.59
245,Lanzhou,CN,1630003885,36.0564,103.7922,285.75,44,2,1.73
246,Berlevåg,NO,1630003886,70.8578,29.0864,283.12,71,0,1.54
247,Watsa,CD,1630003886,3.0372,29.5355,291.95,88,95,0.26
248,Nantucket,US,1630003601,41.2835,-70.0995,301.57,75,1,5.66
249,Paita,PE,1630003887,-5.0892,-81.1144,296.46,72,100,7.04
250,Trelew,AR,1630003710,-43.249,-65.3051,276.3,93,40,9.26
251,Sakakah,SA,1630003887,29.9697,40.2064,311.91,9,0,3.3
252,Gamboma,CG,1630003887,-1.8764,15.8644,303.22,45,79,1.15
253,Isoka,ZM,1630003888,-10.1606,32.6335,291.62,46,6,1.53
254,Atambua,ID,1630003758,-9.1061,124.8925,294.35,86,11,2.44
255,Tual,ID,1630003888,-5.6667,132.75,299.91,80,46,8.58
256,Nakusp,CA,1630003889,50.2499,-117.8023,291.34,52,98,0.51
257,Inawashiro,JP,1630003889,37.5667,140.1167,295.28,95,77,2.1
258,Paamiut,GL,1630003889,61.994,-49.6678,279.59,89,24,7.11
259,Katangli,RU,1630003720,51.7102,143.2326,285.46,99,100,0.81
260,Nizwá,OM,1630003890,22.9333,57.5333,307.03,33,37,5.23
261,Samarai,PG,1630003890,-10.6167,150.6667,299.7,82,69,5.52
262,Verāval,IN,1630003891,20.9,70.3667,301.28,74,100,5.43
263,Taksimo,RU,1630003891,56.3444,114.8794,286.73,67,62,1.62
264,Holenarasipura,IN,1630003891,12.7828,76.2431,294.21,92,100,2.67
265,Hurghada,EG,1630003892,27.2574,33.8129,308.17,31,0,9.77
266,Provideniya,RU,1630003892,64.3833,-173.3,277.18,67,99,4.3
267,Fukuechō,JP,1630003893,32.6881,128.8419,299.92,89,56,4.62
268,Santa Fe,AR,1630003753,-31.6333,-60.7,295.43,17,0,2.24
269,Fairbanks,US,1630003890,64.8378,-147.7164,283.86,91,90,2.57
270,Cuauhtémoc,MX,1630003893,28.4167,-106.8667,297.99,43,13,5.59
271,Port Hardy,CA,1630003691,50.6996,-127.4199,288.25,94,90,3.6
272,Nikol'sk,RU,1630003894,53.7189,46.0712,286.03,51,29,2.69
273,Independence,US,1630003753,39.0911,-94.4155,307.41,57,1,1.79
274,Bizhbulyak,RU,1630003894,53.6967,54.2642,291.36,33,8,5.87
275,Port Shepstone,ZA,1630003894,-30.7414,30.455,297.72,44,0,3.41
276,Turbiv,UA,1630003895,49.3479,28.7212,284.5,87,14,0.35
277,Coyhaique,CL,1630003895,-45.5752,-72.0662,280.11,53,40,3.6
278,Sabha,LY,1630003896,27.0377,14.4283,305.21,17,0,4.03
279,Meridian,US,1630003728,43.6121,-116.3915,297.27,30,1,0.89
280,Mwandiga,TZ,1630003896,-4.83,29.6581,297.65,54,10,2.3
281,Norden,DE,1630003897,53.6,7.2,289.02,75,31,8.6
282,Río Gallegos,AR,1630003897,-51.6226,-69.2181,280.18,49,75,3.6
283,Osypenko,UA,1630003897,46.9136,36.8253,295.42,84,14,2.67
284,Quelimane,MZ,1630003898,-17.8786,36.8883,293.97,89,0,2.4
285,Plettenberg Bay,ZA,1630003898,-34.0527,23.3716,288.18,68,0,1.43
286,Quatre Cocos,MU,1630003898,-20.2078,57.7625,292.64,73,5,6.0
287,Roald,NO,1630003899,62.5833,6.1333,286.29,71,20,6.17
288,Saldanha,ZA,1630003899,-33.0117,17.9442,284.18,88,100,10.49
289,Malakal,SS,1630003899,9.5334,31.6605,295.81,91,100,1.45
290,Vorotynsk,RU,1630003900,54.4283,36.0465,291.55,93,100,3.05
291,Trussville,US,1630003900,33.6198,-86.6089,304.02,70,40,0.89
292,Vila Franca do Campo,PT,1630003900,37.7167,-25.4333,295.38,62,47,4.22
293,Altamira,BR,1630003901,-3.2033,-52.2064,306.2,55,40,2.57
294,Kāzerūn,IR,1630003901,29.6195,51.6541,305.64,19,0,1.96
295,Crib Point,AU,1630003901,-38.35,145.2,280.24,94,100,4.15
296,Alice Springs,AU,1630003902,-23.7,133.8833,278.9,42,3,2.06
297,Vila Velha,BR,1630003702,-20.3297,-40.2925,300.12,65,20,9.26
298,Beringovskiy,RU,1630003902,63.05,179.3167,281.41,73,6,3.51
299,Nurota,UZ,1630003903,40.5614,65.6886,300.2,20,0,2.01
300,Viedma,AR,1630003903,-40.8135,-62.9967,284.65,24,58,10.13
301,Kilinochchi,LK,1630003904,9.3961,80.3982,300.02,78,98,6.85
302,Kumul,CN,1630003904,42.8,93.45,298.34,19,95,1.42
303,Oriximiná,BR,1630003904,-1.7656,-55.8661,308.01,40,54,2.33
304,Zhangaözen,KZ,1630003905,43.3,52.8,300.49,24,6,3.86
305,Atar,MR,1630003905,20.5169,-13.0499,313.88,13,100,4.86
306,Skeldon,GY,1630003906,5.8833,-57.1333,303.21,59,39,3.38
307,Sitka,US,1630003906,57.0531,-135.33,288.09,77,75,2.57
308,Porto-Novo,BJ,1630003907,6.4965,2.6036,300.05,86,100,2.67
309,Mpanda,TZ,1630003907,-6.3655,31.0409,296.51,32,44,1.21
310,Sorong,ID,1630003908,-0.8833,131.25,298.25,85,56,2.67
311,Wajima,JP,1630003908,37.4,136.9,297.3,93,100,4.13
312,Canmore,CA,1630003691,51.0834,-115.3521,289.76,41,100,2.57
313,Lakshmīpur,BD,1630003611,22.95,90.8333,300.2,90,100,4.64
314,Aguçadoura,PT,1630003909,41.4318,-8.7804,295.52,87,30,0.87
315,Sayyan,YE,1630003909,15.1718,44.3244,294.67,28,67,5.03
316,Gbely,SK,1630003909,48.718,17.1163,286.91,89,14,2.51
317,Belmonte,BR,1630003910,-15.8631,-38.8828,301.15,71,4,4.12
318,Mīnāb,IR,1630003910,27.1467,57.0801,307.87,29,1,1.05
319,Shetpe,KZ,1630003910,44.1667,52.1167,297.69,38,9,2.99
320,Maceió,BR,1630003699,-9.6658,-35.7353,300.84,69,40,5.66
321,Camargo,MX,1630003911,27.6667,-105.1667,303.58,32,11,3.49
322,Pizarro,CO,1630003911,4.9533,-77.366,300.41,78,71,3.56
323,Lebu,CL,1630003912,-37.6167,-73.65,283.71,72,77,0.79
324,Sola,VU,1630003912,-13.8833,167.55,299.52,78,75,0.0
325,San Rafael,AR,1630003912,-34.6177,-68.3301,292.59,8,100,1.75
326,Port Augusta,AU,1630003913,-32.5,137.7667,276.32,82,5,1.56
327,Camacha,PT,1630003913,33.0833,-16.3333,295.82,73,20,5.14
328,Vanavara,RU,1630003914,60.34,102.2797,281.22,82,19,1.59
329,Acheng,CN,1630003914,45.5454,126.977,290.11,94,5,4.64
330,Leh,IN,1630003914,34.1667,77.5833,292.19,29,0,2.71
331,Tarko-Sale,RU,1630003915,64.9225,77.785,290.01,93,92,7.56
332,Arrah,IN,1630003915,25.5667,84.6667,298.09,87,100,1.0
333,Awjilah,LY,1630003916,29.1081,21.2869,304.21,24,0,3.87
334,Pisco,PE,1630003820,-13.7,-76.2167,293.18,64,0,4.63
335,Gopālpur,IN,1630003916,19.2667,84.9167,302.35,73,100,0.51
336,San Policarpo,PH,1630003917,12.1791,125.5072,300.05,81,99,2.07
337,Ostrovnoy,RU,1630003917,68.0531,39.5131,278.97,76,39,3.36
338,Yabēlo,ET,1630003917,4.8833,38.0833,292.23,44,64,4.87
339,Yerbogachën,RU,1630003918,61.2767,108.0108,279.68,86,19,1.79
340,Woodburn,US,1630003918,45.1437,-122.8554,293.33,63,90,0.89
341,Sur,OM,1630003918,22.5667,59.5289,305.95,52,71,6.31
342,Randazzo,IT,1630003919,37.8774,14.9501,294.73,84,36,1.91
343,Salinópolis,BR,1630003723,-0.6136,-47.3561,301.69,69,99,4.68
344,Ossora,RU,1630003920,59.2353,163.0719,286.13,92,100,2.32
345,Lakes Entrance,AU,1630003920,-37.8811,147.981,281.57,94,100,0.86
346,Verkhnyaya Inta,RU,1630003920,65.9811,60.3094,280.12,93,100,3.71
347,Biltine,TD,1630003921,14.5333,20.9167,298.32,69,100,7.64
348,Vestmanna,FO,1630003921,62.1564,-7.1664,283.66,100,90,0.51
349,Beipiao,CN,1630003921,41.7919,120.7792,288.52,74,0,2.15
350,Sagua la Grande,CU,1630003922,22.8067,-80.0756,300.7,63,100,7.99
351,Portland,US,1630003447,45.5234,-122.6762,293.13,72,90,0.89
352,Prince Rupert,CA,1630003922,54.3161,-130.3201,287.12,91,90,1.54
353,Scottsbluff,US,1630003923,41.8666,-103.6672,303.12,30,1,4.63
354,Ahipara,NZ,1630003923,-35.1667,173.1667,287.27,91,100,5.81
355,Sauda,NO,1630003923,59.6506,6.3542,288.34,56,12,2.95
356,Karpathos,GR,1630003924,35.507,27.2132,298.13,88,0,8.75
357,Coaldale,CA,1630003924,49.7167,-112.6185,296.31,34,75,3.09
358,Acapulco de Juárez,MX,1630003925,16.8634,-99.8901,303.41,67,50,5.48
